,Cloud Coverage,Date,Relative Humidity,Temperature,Time
0,5.6,,59.0,,2018-06-21T13:00:00-05:00
1,6.9,,55.0,,2018-06-21T16:00:00-05:00
2,7.1,,58.0,,2018-06-21T19:00:00-05:00
3,6.8,,71.0,,2018-06-21T22:00:00-05:00
4,5.4,,84.0,,2018-06-22T01:00:00-05:00
5,5.5,,90.0,,2018-06-22T04:00:00-05:00
6,4.9,,86.0,,2018-06-22T07:00:00-05:00
7,5.4,,66.0,,2018-06-22T10:00:00-05:00
8,6.1,,54.0,,2018-06-22T13:00:00-05:00
9,4.7,,49.0,,2018-06-22T16:00:00-05:00
10,3.8,,50.0,,2018-06-22T19:00:00-05:00
11,3.7,,71.0,,2018-06-22T22:00:00-05:00
12,2.6,,78.0,,2018-06-23T01:00:00-05:00
13,1.8,,84.0,,2018-06-23T04:00:00-05:00
14,4.3,,90.0,,2018-06-23T07:00:00-05:00
15,5.0,,64.0,,2018-06-23T10:00:00-05:00
16,8.2,,52.0,,2018-06-23T13:00:00-05:00
17,8.2,,45.0,23.0,2018-06-23T16:00:00-05:00
18,7.4,,52.0,79.0,2018-06-23T19:00:00-05:00
19,7.2,,69.0,73.0,2018-06-23T22:00:00-05:00
20,6.4,,78.0,69.0,2018-06-24T01:00:00-05:00
21,5.8,,90.0,65.0,2018-06-24T04:00:00-05:00
22,7.1,,90.0,65.0,2018-06-24T07:00:00-05:00
23,6.8,,66.0,75.0,2018-06-24T10:00:00-05:00
24,7.0,,64.0,77.0,2018-06-24T13:00:00-05:00
25,7.5,,58.0,80.0,2018-06-24T16:00:00-05:00
26,8.8,,62.0,78.0,2018-06-24T19:00:00-05:00
27,9.6,,71.0,74.0,2018-06-24T22:00:00-05:00
28,9.3,,82.0,69.0,2018-06-25T01:00:00-05:00
29,8.4,,84.0,67.0,2018-06-25T04:00:00-05:00
30,7.8,,100.0,63.0,2018-06-25T07:00:00-05:00
31,7.8,,81.0,69.0,2018-06-25T10:00:00-05:00
32,7.4,,60.0,77.0,2018-06-25T13:00:00-05:00
33,6.9,,53.0,81.0,2018-06-25T16:00:00-05:00
34,7.6,,56.0,79.0,2018-06-25T19:00:00-05:00
35,8.9,,71.0,73.0,2018-06-25T22:00:00-05:00
36,7.8,,75.0,69.0,2018-06-26T01:00:00-05:00
37,9.0,,84.0,65.0,2018-06-26T04:00:00-05:00
38,9.4,,94.0,64.0,2018-06-26T07:00:00-05:00
39,9.3,6/26/2018,87.0,67.0,10:00
40,9.3,6/26/2018,87.0,67.0,10:00
41,7.4,6/25/2018,60.0,77.0,13:00
42,7.4,6/25/2018,60.0,77.0,13:00
43,6.9,6/25/2018,53.0,81.0,16:00
44,6.9,6/25/2018,53.0,81.0,16:00
45,7.6,6/25/2018,56.0,79.0,19:00
46,7.6,6/25/2018,56.0,79.0,19:00
47,8.9,6/25/2018,71.0,73.0,22:00
48,8.9,6/25/2018,71.0,73.0,22:00
49,7.8,6/26/2018,75.0,69.0,1:00
50,7.8,6/26/2018,75.0,69.0,1:00
51,9.0,6/26/2018,84.0,65.0,4:00
52,9.0,6/26/2018,84.0,65.0,4:00
53,9.4,6/26/2018,94.0,64.0,7:00
54,9.4,6/26/2018,94.0,64.0,7:00
55,7.8,6/25/2018,81.0,69.0,10:00
56,7.8,06/25/2018,81.0,69.0,10:00
57,7.4,06/25/2018,60.0,77.0,13:00
58,6.9,06/25/2018,53.0,81.0,16:00
59,7.6,06/25/2018,56.0,79.0,19:00
60,8.9,06/25/2018,71.0,73.0,22:00
61,7.8,06/26/2018,75.0,69.0,01:00
62,9.0,06/26/2018,84.0,65.0,04:00
63,9.4,06/26/2018,94.0,64.0,07:00
64,9.3,06/26/2018,87.0,67.0,10:00
