,Cloud Coverage,Date,Relative Humidity,Temperature,Time
0,9.3,6/26/2018,87,67,10:00
1,7.4,6/25/2018,60,77,13:00
2,6.9,6/25/2018,53,81,16:00
3,7.6,6/25/2018,56,79,19:00
4,8.9,6/25/2018,71,73,22:00
5,7.8,6/26/2018,75,69,1:00
6,9,6/26/2018,84,65,4:00
7,9.4,6/26/2018,94,64,7:00
8,7.8,6/25/2018,81,69,10:00
9,7.4,6/25/2018,60,77,13:00
10,6.9,6/25/2018,53,81,16:00
11,7.6,6/25/2018,56,79,19:00
12,8.9,6/25/2018,71,73,22:00
13,7.8,6/26/2018,75,69,1:00
14,9,6/26/2018,84,65,4:00
15,9.4,6/26/2018,94,64,7:00
16,9.3,6/26/2018,87,67,10:00
