,Date,Time,Cloud Coverage,Temperature,Relative Humidity
0,06/25/2018,16:00,6.9,27.0,53.0
1,06/25/2018,19:00,7.6,26.0,56.0
2,06/25/2018,22:00,8.9,22.0,71.0
3,06/26/2018,01:00,7.8,20.0,75.0
4,06/26/2018,04:00,9.0,18.0,84.0
5,06/26/2018,07:00,9.5,17.0,93.0
6,06/26/2018,10:00,9.7,18.0,90.0
7,06/26/2018,13:00,9.7,21.0,84.0
8,06/26/2018,16:00,9.0,23.0,76.0
9,06/26/2018,19:00,9.3,23.0,79.0
10,06/26/2018,22:00,8.6,20.0,91.0
11,06/27/2018,01:00,8.2,19.0,93.0
12,06/27/2018,04:00,8.8,18.0,93.0
13,06/27/2018,07:00,9.2,18.0,93.0
14,06/27/2018,10:00,8.6,21.0,84.0
15,06/27/2018,13:00,7.0,23.0,71.0
16,06/27/2018,16:00,5.1,26.0,62.0
17,06/27/2018,19:00,4.1,26.0,65.0
18,06/27/2018,22:00,2.6,23.0,76.0
19,06/28/2018,01:00,2.0,21.0,90.0
20,06/28/2018,04:00,3.1,19.0,97.0
21,06/28/2018,07:00,2.1,20.0,87.0
22,06/28/2018,10:00,2.8,26.0,67.0
23,06/28/2018,13:00,4.5,31.0,52.0
24,06/28/2018,16:00,4.9,31.0,52.0
25,06/28/2018,19:00,4.4,29.0,63.0
26,06/28/2018,22:00,5.4,26.0,74.0
27,06/29/2018,01:00,5.5,24.0,82.0
28,06/29/2018,04:00,5.9,23.0,84.0
29,06/29/2018,07:00,4.8,23.0,84.0
30,06/29/2018,10:00,2.3,29.0,66.0
